pm,stator_yoke,stator_tooth,stator_winding,ambient,coolant,u_d,u_q,torque,i_d,i_q,,motor_speed
-0.6331047,-0.39753547,-0.29014707,-0.30772012,0.047103602,-0.555098,0.4442563,1.7047329,-0.34220606,0.9947208,-0.3497908,,0.2935362
-0.15065576,-0.7776131,-1.226843,-1.3218563,0.6716263,0.35066977,0.31909162,-1.3278744,-0.25563973,1.0291426,-0.24572322,,-1.22243
1.1360375,0.96701133,0.45456198,0.11089915,-0.5522051,1.9890434,-0.08432332,-0.77599895,1.311668,0.14759797,1.4429615,,-0.95190084
1.0466292,1.2912089,1.3025689,1.0491111,0.6837887,-0.10660908,0.1813502,1.7174115,-0.24990642,-0.36269844,-0.24259351,,1.5039048
-0.47017303,-0.053766523,-0.123046994,-0.032704756,-0.007995944,0.3796678,2.1725037,-0.2978523,-2.1496685,-1.1808901,-2.0303578,,0.18643914
0.6182605,2.2194326,1.9916204,2.0203998,0.63707143,1.9189537,-0.7479464,-0.024507811,1.2844838,0.15834926,1.4141186,,-0.45132223
-0.58353126,0.11259055,0.080426835,0.018328104,0.6639949,0.18433,0.5994569,-1.0740628,-1.9825226,0.08838202,-2.0910292,,-1.0081816
0.8130191,1.1483983,1.269249,1.261606,1.026741,1.0093403,-1.4219131,0.08780151,0.4759891,-1.4944829,0.4078535,,1.6182984
1.266706,1.2923857,1.3008974,1.2420858,0.68644863,1.116453,-0.7226937,1.1554974,0.08737562,-0.9338304,0.054165144,,1.9835948
-0.4079813,1.1554018,0.61742294,0.19622199,0.42867202,1.7027981,0.30036947,-1.2979931,-0.25563973,1.0291377,-0.24571414,,-1.2224287
-1.9131672,-0.931141,-1.0679089,-0.97692335,0.2837996,-0.42369524,-0.43886417,1.510687,0.073977545,-0.33055404,0.07815496,,1.060864
1.7923565,1.5861849,1.6854994,1.6326808,0.69180363,1.2246056,-1.0805305,0.823997,0.31022403,-0.9272879,0.25852406,,1.5433477
0.030298231,-1.0162548,-0.88881254,-0.9612818,0.6856738,-1.209475,1.1225262,0.7937869,-0.9398079,0.8135002,-1.0359861,,-0.08860146
-0.86630934,-0.98363084,-0.79496586,-0.60086125,-1.6527456,-1.0669463,-1.3044865,0.4581313,1.1337963,-0.4872721,1.1112734,,0.16817842
0.4444936,0.7845303,0.8077671,0.7440794,0.7222783,0.60788935,1.4609483,1.1689605,-0.97327256,-0.08949227,-0.97424257,,0.69642895
0.8680826,1.4982725,1.5350854,1.4541249,0.68773144,1.261506,0.324762,1.6838067,-0.3066893,-0.16993272,-0.2968738,,1.2383482
-0.6498968,-0.73472506,-1.0679032,-1.1352037,-0.17859234,-0.0441421,0.29936838,-1.293298,-0.25563973,1.0291374,-0.24573731,,-1.2224292
2.5141337,0.19799195,0.922454,1.1684716,-0.5735748,-1.0590934,-0.6022041,-0.14407136,1.1443145,0.27429867,1.2848253,,-0.5460631
0.22996332,-0.057708886,0.015141915,-0.053082936,0.3704117,-0.36052164,0.7037512,0.29500997,-0.6978595,0.9222077,-0.76435333,,-0.38260987
-0.88636595,1.333444,0.7756293,0.34066057,0.4976363,1.7475554,0.18609847,1.569873,-0.18940276,1.0056527,-0.16480829,,0.21241513
-1.3158876,-0.6895489,-0.4536089,-0.2880683,0.110929705,-0.612318,-1.1183887,0.7108077,0.41243002,-1.1040355,0.34621742,,1.3448443
1.6221181,1.4741509,1.6113755,1.6379085,0.9025859,1.0104909,-1.4874218,-0.0409287,0.9723981,-1.2282238,0.8971251,,0.56317204
